mpg,wt,hp,drat,qsec,vs,am,gear,carb,cyl,disp
21,2.62,110,3.9,16.46,0,1,4,4,6,160
21,2.875,110,3.9,17.02,0,1,4,4,6,160
22.8,2.32,93,3.85,18.61,1,1,4,1,4,108
21.4,3.215,110,3.08,19.44,1,0,3,1,6,258
18.7,3.44,175,3.15,17.02,0,0,3,2,8,360
18.1,3.46,105,2.76,20.22,1,0,3,1,6,225
14.3,3.57,245,3.21,15.84,0,0,3,4,8,360
24.4,3.19,62,3.69,20,1,0,4,2,4,146.7
22.8,3.15,95,3.92,22.9,1,0,4,2,4,140.8
19.2,3.44,123,3.92,18.3,1,0,4,4,6,167.6
17.8,3.44,123,3.92,18.9,1,0,4,4,6,167.6
16.4,4.07,180,3.07,17.4,0,0,3,3,8,275.8
17.3,3.73,180,3.07,17.6,0,0,3,3,8,275.8
15.2,3.78,180,3.07,18,0,0,3,3,8,275.8
10.4,5.25,205,2.93,17.98,0,0,3,4,8,472
10.4,5.424,215,3,17.82,0,0,3,4,8,460
14.7,5.345,230,3.23,17.42,0,0,3,4,8,440
32.4,2.2,66,4.08,19.47,1,1,4,1,4,78.7
30.4,1.615,52,4.93,18.52,1,1,4,2,4,75.7
33.9,1.835,65,4.22,19.9,1,1,4,1,4,71.1
21.5,2.465,97,3.7,20.01,1,0,3,1,4,120.1
15.5,3.52,150,2.76,16.87,0,0,3,2,8,318
15.2,3.435,150,3.15,17.3,0,0,3,2,8,304
13.3,3.84,245,3.73,15.41,0,0,3,4,8,350
19.2,3.845,175,3.08,17.05,0,0,3,2,8,400
27.3,1.935,66,4.08,18.9,1,1,4,1,4,79
26,2.14,91,4.43,16.7,0,1,5,2,4,120.3
30.4,1.513,113,3.77,16.9,1,1,5,2,4,95.1
15.8,3.17,264,4.22,14.5,0,1,5,4,8,351
19.7,2.77,175,3.62,15.5,0,1,5,6,6,145
15,3.57,335,3.54,14.6,0,1,5,8,8,301
21.4,2.78,109,4.11,18.6,1,1,4,2,4,121